file,E (Ha)
conformer_181,-4862.418230
conformer_205,-4862.443000
conformer_22,-4862.422993
conformer_225,-4862.428103
conformer_257,-4862.422238
conformer_3,-4862.430995
conformer_302,-4862.431339
conformer_307,-4862.425307
conformer_348,-4862.437891
conformer_361,-4862.419314
conformer_363,-4862.429304
conformer_373,-4862.425535
conformer_39,-4862.424687
conformer_433,-4862.425396
conformer_461,-4862.443947
conformer_586,-4862.423536
conformer_589,-4862.420210
conformer_596,-4862.436354
conformer_6,-4862.439291
conformer_694,-4862.432929
conformer_732,-4862.439616
conformer_780,-4862.448251
conformer_787,-4862.433230
conformer_824,-4862.440801
conformer_829,-4862.429769
conformer_840,-4862.421788
conformer_905,-4862.422048
conformer_924,-4862.442058
